filename,reg_id,type1,type2,Q,A
perpu1-2015bt.pdf,PERPU_2015_1,Q2,Q2.2,Apa saja peraturan yang berelasi dengan Peraturan Pengganti Undang Undang  Republik Indonesia Nomor 1 Tahun 2015?,"UUD1945_1945_SECTION_22_1;
UU_2002_30;
UU_2002_30"
perpu1-2015bt.pdf,PERPU_2015_1,Q2,Q2.3,Peraturan manakah yang diubah oleh Peraturan Pengganti Undang Undang  Republik Indonesia Nomor 1 Tahun 2015?,UU_2002_30
bn1245-2019.pdf,PERMEN_DAG_2019_76,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Menteri Perdagangan Republik Indonesia Nomor 76 Tahun 2019?,"UU_1994_7;
UU_1995_10;
UU_2000_36;
UU_2007_25;
UU_2008_17;
UU_2009_1;
UU_2014_3;
UU_2014_7;
PP_2009_32;
PP_2018_24;
PERPRES_2015_48;
PERMEN_KEU_2005_20;
PERMEN_DAG_8_46;
PERMEN_DAG_7_48;
PERMEN_DAG_2_08;
PERMEN_DAG_9_64;
PERMEN_DAG_2018_75;
PERMEN_DAG_2018_77;
PERMEN_DAG_2018_118"
bn1245-2019.pdf,PERMEN_DAG_2019_76,Q2,Q2.2,Apa saja peraturan yang berelasi dengan Peraturan Menteri Perdagangan Republik Indonesia Nomor 76 Tahun 2019?,"UU_1994_7;
UU_1995_10;
UU_2000_36;
UU_2007_25;
UU_2008_17;
UU_2009_1;
UU_2014_3;
UU_2014_7;
PP_2009_32;
PP_2018_24;
PERPRES_2015_48;
PERMEN_KEU_2005_20;
PERMEN_DAG_8_46;
PERMEN_DAG_7_48;
PERMEN_DAG_2_08;
PERMEN_DAG_9_64;
PERMEN_DAG_2018_75;
PERMEN_DAG_2018_77;
PERMEN_DAG_2018_118;
PERMEN_DAG_2018_118"
bn1245-2019.pdf,PERMEN_DAG_2019_76,Q2,Q2.3,Peraturan manakah yang diubah oleh Peraturan Menteri Perdagangan Republik Indonesia Nomor 76 Tahun 2019?,PERMEN_DAG_2018_118
bn543-2014.pdf,PERMEN_PERIN_4_21,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Menteri Perindustrian Republik Indonesia Nomor 21 Tahun 4?,"UU_2014_3;
PERMEN_PERIN_3_21"
bn543-2014.pdf,PERMEN_PERIN_4_21,Q2,Q2.2,Apa saja peraturan yang berelasi dengan Peraturan Menteri Perindustrian Republik Indonesia Nomor 21 Tahun 4?,"UU_2014_3;
PERMEN_PERIN_3_21;
PERMEN_PERIN_3_21"
bn543-2014.pdf,PERMEN_PERIN_4_21,Q2,Q2.3,Peraturan manakah yang diubah oleh Peraturan Menteri Perindustrian Republik Indonesia Nomor 21 Tahun 4?,PERMEN_PERIN_3_21
bn411-2012.pdf,PERMEN_HUT_2012_19,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Menteri Kehutanan Republik Indonesia Nomor 19 Tahun 2012?,"UU_1990_5;
UU_1999_41;
UU_2004_32;
UU_2007_26;
UU_2009_32;
PP_1999_27;
PP_2007_6;
PP_2007_38;
PERPRES_2009_47;
PERPRES_2010_24;
;
;
PERMEN_HUT_2008_58;
PERMEN_HUT_2009_33;
PERMEN_HUT_2010_40;
PERMEN_HUT_2010_50;"
bn411-2012.pdf,PERMEN_HUT_2012_19,Q2,Q2.2,Apa saja peraturan yang berelasi dengan Peraturan Menteri Kehutanan Republik Indonesia Nomor 19 Tahun 2012?,"UU_1990_5;
UU_1999_41;
UU_2004_32;
UU_2007_26;
UU_2009_32;
PP_1999_27;
PP_2007_6;
PP_2007_38;
PERPRES_2009_47;
PERPRES_2010_24;
;
;
PERMEN_HUT_2008_58;
PERMEN_HUT_2009_33;
PERMEN_HUT_2010_40;
PERMEN_HUT_2010_50;
;
PERMEN_HUT_2008_62"
bn411-2012.pdf,PERMEN_HUT_2012_19,Q2,Q2.3,Peraturan manakah yang diubah oleh Peraturan Menteri Kehutanan Republik Indonesia Nomor 19 Tahun 2012?,PERMEN_HUT_2008_62
bn345-2016.pdf,PERMEN_ATRBPN_2015_24,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Menteri Agraria dan Tata Ruang/Badan Pertanahan Nasional Republik Indonesia Nomor 24 Tahun 2015?,"UU_2014_5;
PERPRES_2015_17;
PERPRES_2015_20;
PERMEN_PANRB_2011_33;
PERMEN_PANRB_2011_34;
PERMEN_PANRB_2011_39;
;
;
;"
bn345-2016.pdf,PERMEN_ATRBPN_2015_24,Q2,Q2.2,Apa saja peraturan yang berelasi dengan Peraturan Menteri Agraria dan Tata Ruang/Badan Pertanahan Nasional Republik Indonesia Nomor 24 Tahun 2015?,"UU_2014_5;
PERPRES_2015_17;
PERPRES_2015_20;
PERMEN_PANRB_2011_33;
PERMEN_PANRB_2011_34;
PERMEN_PANRB_2011_39;
;
;
;
;
PERMEN_ATRBPN_2014_13"
bn345-2016.pdf,PERMEN_ATRBPN_2015_24,Q2,Q2.3,Peraturan manakah yang diubah oleh Peraturan Menteri Agraria dan Tata Ruang/Badan Pertanahan Nasional Republik Indonesia Nomor 24 Tahun 2015?,PERMEN_ATRBPN_2014_13
bn1597-2017.pdf,PERMEN_AGAMA_2017_51,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Menteri Agama Republik Indonesia Nomor 51 Tahun 2017?,"UU_2003_20;
UU_2005_14;
UU_2012_12;
PP_2005_19;
PP_2009_37;
PERPRES_2015_7;
PERPRES_2015_83;
PERMEN_AGAMA_2015_11;
PERMEN_AGAMA_2016_42"
bn1597-2017.pdf,PERMEN_AGAMA_2017_51,Q2,Q2.2,Apa saja peraturan yang berelasi dengan Peraturan Menteri Agama Republik Indonesia Nomor 51 Tahun 2017?,"UU_2003_20;
UU_2005_14;
UU_2012_12;
PP_2005_19;
PP_2009_37;
PERPRES_2015_7;
PERPRES_2015_83;
PERMEN_AGAMA_2015_11;
PERMEN_AGAMA_2016_42;
PERMEN_AGAMA_2015_11"
bn1597-2017.pdf,PERMEN_AGAMA_2017_51,Q2,Q2.3,Peraturan manakah yang diubah oleh Peraturan Menteri Agama Republik Indonesia Nomor 51 Tahun 2017?,PERMEN_AGAMA_2015_11
bn420-2016.pdf,PERMEN_KOPUKM_2016_06,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Menteri Koperasi dan Usaha Kecil dan Menengah Republik Indonesia Nomor 06 Tahun 2016?,"UU_2003_17;
UU_2004_1;
UU_2014_5;
PP_1977_7;
PP_2003_9;
PP_2010_53;
PERPRES_2010_24;
PERPRES_2014_109;
PERPRES_2015_62;
PERMEN_KOPUKM_2015_08;
PERMEN_KOPUKM_2014_07"
bn420-2016.pdf,PERMEN_KOPUKM_2016_06,Q2,Q2.2,Apa saja peraturan yang berelasi dengan Peraturan Menteri Koperasi dan Usaha Kecil dan Menengah Republik Indonesia Nomor 06 Tahun 2016?,"UU_2003_17;
UU_2004_1;
UU_2014_5;
PP_1977_7;
PP_2003_9;
PP_2010_53;
PERPRES_2010_24;
PERPRES_2014_109;
PERPRES_2015_62;
PERMEN_KOPUKM_2015_08;
PERMEN_KOPUKM_2014_07;
PERMEN_KOPUKM_2014_10"
bn420-2016.pdf,PERMEN_KOPUKM_2016_06,Q2,Q2.3,Peraturan manakah yang diubah oleh Peraturan Menteri Koperasi dan Usaha Kecil dan Menengah Republik Indonesia Nomor 06 Tahun 2016?,PERMEN_KOPUKM_2014_10
bn934-2014.pdf,PERMEN_DAG_7_36,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Menteri Perdagangan Republik Indonesia Nomor 36 Tahun 7?,"UU_1994_7;
UU_1995_10;
UU_2000_36;
UU_2008_39;
UU_2009_36;
UU_2012_18;
UU_2014_7;
PP_2000_102;
PP_2012_10;
PERPRES_2009_47;
PERPRES_2010_24;
PERMEN_DAG_6_28;
PERMEN_DAG_10_54;
PERMEN_DAG_7_31;
PERMEN_DAG_5_27;
PERMEN_DAG_12_83;"
bn934-2014.pdf,PERMEN_DAG_7_36,Q2,Q2.2,Apa saja peraturan yang berelasi dengan Peraturan Menteri Perdagangan Republik Indonesia Nomor 36 Tahun 7?,"UU_1994_7;
UU_1995_10;
UU_2000_36;
UU_2008_39;
UU_2009_36;
UU_2012_18;
UU_2014_7;
PP_2000_102;
PP_2012_10;
PERPRES_2009_47;
PERPRES_2010_24;
PERMEN_DAG_6_28;
PERMEN_DAG_10_54;
PERMEN_DAG_7_31;
PERMEN_DAG_5_27;
PERMEN_DAG_12_83;
;
PERMEN_DAG_12_83"
bn934-2014.pdf,PERMEN_DAG_7_36,Q2,Q2.3,Peraturan manakah yang diubah oleh Peraturan Menteri Perdagangan Republik Indonesia Nomor 36 Tahun 7?,PERMEN_DAG_12_83
bn690-2018.pdf,PERMEN_TAN_5_23,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Menteri Pertanian Republik Indonesia Nomor 23 Tahun 5?,"UU_1992_16;
UU_1999_8;
UU_2003_19;
UU_2009_18;
UU_2012_18;
UU_2014_7;
UU_2014_23;
PP_1999_69;
PP_2000_82;
PP_2012_95;
PP_2015_17;
PP_2017_3;
PERPRES_2015_7;
PERPRES_2015_45;
PERMEN_TAN_10_381;
PERMEN_TAN_12_94;
PERMEN_TAN_8_43;
PERMEN_TAN_7_34;
PERMEN_TAN_11_41"
bn690-2018.pdf,PERMEN_TAN_5_23,Q2,Q2.2,Apa saja peraturan yang berelasi dengan Peraturan Menteri Pertanian Republik Indonesia Nomor 23 Tahun 5?,"UU_1992_16;
UU_1999_8;
UU_2003_19;
UU_2009_18;
UU_2012_18;
UU_2014_7;
UU_2014_23;
PP_1999_69;
PP_2000_82;
PP_2012_95;
PP_2015_17;
PP_2017_3;
PERPRES_2015_7;
PERPRES_2015_45;
PERMEN_TAN_10_381;
PERMEN_TAN_12_94;
PERMEN_TAN_8_43;
PERMEN_TAN_7_34;
PERMEN_TAN_11_41;
PERMEN_TAN_7_34"
bn690-2018.pdf,PERMEN_TAN_5_23,Q2,Q2.3,Peraturan manakah yang diubah oleh Peraturan Menteri Pertanian Republik Indonesia Nomor 23 Tahun 5?,PERMEN_TAN_7_34
bn287-2009.pdf,PERMEN_KEU_2009_148,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Menteri Keuangan Republik Indonesia Nomor 148 Tahun 2009?,"UU_1995_10;
PERMEN_KEU_2007_125;"
bn287-2009.pdf,PERMEN_KEU_2009_148,Q2,Q2.2,Apa saja peraturan yang berelasi dengan Peraturan Menteri Keuangan Republik Indonesia Nomor 148 Tahun 2009?,"UU_1995_10;
PERMEN_KEU_2007_125;
;
PERMEN_KEU_2007_125"
bn287-2009.pdf,PERMEN_KEU_2009_148,Q2,Q2.3,Peraturan manakah yang diubah oleh Peraturan Menteri Keuangan Republik Indonesia Nomor 148 Tahun 2009?,PERMEN_KEU_2007_125
pp69-2013bt.pdf,PP_2013_69,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Pemerintah  Republik Indonesia Nomor 69 Tahun 2013?,"UUD1945_1945_SECTION_5_2;
UU_1966_6;
UU_1969_11;
UU_1974_8;
UU_2002_2;
UU_2002_3;
UU_2004_34;
PP_1968_36;
PP_1979_32;
PP_1986_30;
PP_2001_5;
PP_2003_9;
PP_2010_39"
pp69-2013bt.pdf,PP_2013_69,Q2,Q2.2,Apa saja peraturan yang berelasi dengan Peraturan Pemerintah  Republik Indonesia Nomor 69 Tahun 2013?,"UUD1945_1945_SECTION_5_2;
UU_1966_6;
UU_1969_11;
UU_1974_8;
UU_2002_2;
UU_2002_3;
UU_2004_34;
PP_1968_36;
PP_1979_32;
PP_1986_30;
PP_2001_5;
PP_2003_9;
PP_2010_39;
PP_2001_5"
pp69-2013bt.pdf,PP_2013_69,Q2,Q2.3,Peraturan manakah yang diubah oleh Peraturan Pemerintah  Republik Indonesia Nomor 69 Tahun 2013?,PP_2001_5
bn1689-2015.pdf,PERMEN_DAG_10_94,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Menteri Perdagangan Republik Indonesia Nomor 94 Tahun 10?,"UU_2008_39;
UU_2014_7;
PERPRES_2015_7;
PERPRES_2015_48;
PERMEN_DAG_7_48;
PERMEN_DAG_9_70;"
bn1689-2015.pdf,PERMEN_DAG_10_94,Q2,Q2.2,Apa saja peraturan yang berelasi dengan Peraturan Menteri Perdagangan Republik Indonesia Nomor 94 Tahun 10?,"UU_2008_39;
UU_2014_7;
PERPRES_2015_7;
PERPRES_2015_48;
PERMEN_DAG_7_48;
PERMEN_DAG_9_70;
;
PERMEN_DAG_10_87"
bn1689-2015.pdf,PERMEN_DAG_10_94,Q2,Q2.3,Peraturan manakah yang diubah oleh Peraturan Menteri Perdagangan Republik Indonesia Nomor 94 Tahun 10?,PERMEN_DAG_10_87
bn1065-2012.pdf,PERMEN_ESDM_2012_27,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Menteri Energi dan Sumber Daya Mineral Republik Indonesia Nomor 27 Tahun 2012?,"UU_2001_22;
PP_2002_67;
PP_2004_36;
PERMEN_ESDM_2010_18;
PERMEN_ESDM_2011_16;"
bn1065-2012.pdf,PERMEN_ESDM_2012_27,Q2,Q2.2,Apa saja peraturan yang berelasi dengan Peraturan Menteri Energi dan Sumber Daya Mineral Republik Indonesia Nomor 27 Tahun 2012?,"UU_2001_22;
PP_2002_67;
PP_2004_36;
PERMEN_ESDM_2010_18;
PERMEN_ESDM_2011_16;
;
PERMEN_ESDM_2011_16"
bn1065-2012.pdf,PERMEN_ESDM_2012_27,Q2,Q2.3,Peraturan manakah yang diubah oleh Peraturan Menteri Energi dan Sumber Daya Mineral Republik Indonesia Nomor 27 Tahun 2012?,PERMEN_ESDM_2011_16
perda_kabupaten_indragiri_hilir_nomor_44_tahun_2010_11e57708c2173666b9bf313535383430.pdf,PERKAB_INDRAGIRI_HILIR_2010_44,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Kabupaten Indragiri Hilir Nomor 44 Tahun 2010?,"UU_1965_6;
UU_2004_10;
UU_2004_33;
UU_2009_28;
PP_2007_38;
;
;
;"
perda_kabupaten_indragiri_hilir_nomor_44_tahun_2010_11e57708c2173666b9bf313535383430.pdf,PERKAB_INDRAGIRI_HILIR_2010_44,Q2,Q2.2,Apa saja peraturan yang berelasi dengan Peraturan Kabupaten Indragiri Hilir Nomor 44 Tahun 2010?,"UU_1965_6;
UU_2004_10;
UU_2004_33;
UU_2009_28;
PP_2007_38;
;
;
;"
perda_kabupaten_indragiri_hilir_nomor_44_tahun_2010_11e57708c2173666b9bf313535383430.pdf,PERKAB_INDRAGIRI_HILIR_2010_44,Q2,Q2.4,Peraturan manakah yang dicabut oleh Peraturan Kabupaten Indragiri Hilir Nomor 44 Tahun 2010?,none
bn688-2012.pdf,PERMEN_KES_2012_026,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Menteri Kesehatan Republik Indonesia Nomor 026 Tahun 2012?,";
PP_1996_32;
PERMEN_KES_2011_1871;"
bn688-2012.pdf,PERMEN_KES_2012_026,Q2,Q2.2,Apa saja peraturan yang berelasi dengan Peraturan Menteri Kesehatan Republik Indonesia Nomor 026 Tahun 2012?,";
PP_1996_32;
PERMEN_KES_2011_1871;"
bn688-2012.pdf,PERMEN_KES_2012_026,Q2,Q2.4,Peraturan manakah yang dicabut oleh Peraturan Menteri Kesehatan Republik Indonesia Nomor 026 Tahun 2012?,none
perda_kabupaten_magelang_nomor_8_tahun_2009_11e452bd8728d080b61c313634343239.pdf,PERKAB_MAGELANG_2009_8,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Kabupaten Magelang Nomor 8 Tahun 2009?,"UU_1950_13;
UU_1997_18;
UU_2003_17;
UU_2004_10;
UU_2004_15;
UU_2004_32;
UU_2004_33;
UU_2004_38;
UU_2009_22;
PP_1985_26;
PP_1993_41;
PP_1993_44;
PERPRES_2007_1;
PERKAB_MAGELANG_2001_15;
PERKAB_MAGELANG_2004_10;
PERKAB_MAGELANG_2006_2"
perda_kabupaten_magelang_nomor_8_tahun_2009_11e452bd8728d080b61c313634343239.pdf,PERKAB_MAGELANG_2009_8,Q2,Q2.2,Apa saja peraturan yang berelasi dengan Peraturan Kabupaten Magelang Nomor 8 Tahun 2009?,"UU_1950_13;
UU_1997_18;
UU_2003_17;
UU_2004_10;
UU_2004_15;
UU_2004_32;
UU_2004_33;
UU_2004_38;
UU_2009_22;
PP_1985_26;
PP_1993_41;
PP_1993_44;
PERPRES_2007_1;
PERKAB_MAGELANG_2001_15;
PERKAB_MAGELANG_2004_10;
PERKAB_MAGELANG_2006_2"
perda_kabupaten_magelang_nomor_8_tahun_2009_11e452bd8728d080b61c313634343239.pdf,PERKAB_MAGELANG_2009_8,Q2,Q2.4,Peraturan manakah yang dicabut oleh Peraturan Kabupaten Magelang Nomor 8 Tahun 2009?,none
perda_kabupaten_bondowoso_nomor_9_tahun_2010_11e539a43c63762a94ce313235353235.pdf,PERKAB_BONDOWOSO_2010_9,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Kabupaten Bondowoso Nomor 9 Tahun 2010?,"UU_1950_12;
;
UU_2004_33;
;
UU_2009_33;
PP_1983_27;
PP_1994_6;
PP_1994_8;
PP_2007_38;
PERMEN_DAG_3_09;
PERKAB_BONDOWOSO_2005_4;"
perda_kabupaten_bondowoso_nomor_9_tahun_2010_11e539a43c63762a94ce313235353235.pdf,PERKAB_BONDOWOSO_2010_9,Q2,Q2.2,Apa saja peraturan yang berelasi dengan Peraturan Kabupaten Bondowoso Nomor 9 Tahun 2010?,"UU_1950_12;
;
UU_2004_33;
;
UU_2009_33;
PP_1983_27;
PP_1994_6;
PP_1994_8;
PP_2007_38;
PERMEN_DAG_3_09;
PERKAB_BONDOWOSO_2005_4;"
perda_kabupaten_bondowoso_nomor_9_tahun_2010_11e539a43c63762a94ce313235353235.pdf,PERKAB_BONDOWOSO_2010_9,Q2,Q2.4,Peraturan manakah yang dicabut oleh Peraturan Kabupaten Bondowoso Nomor 9 Tahun 2010?,none
perda_kabupaten_serdang_bedagai_nomor_11_tahun_2012_11e56ca7253d00988c5d313035343434.pdf,PERKAB_SERDANG_BEDAGAI_2012_11,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Kabupaten Serdang Bedagai Nomor 11 Tahun 2012?,"SECTION_18_6;
UU_2003_36;
UU_2007_28;
PP_2005_79;
PP_2007_38;
PERMEN_DAGRI_2011_53"
perda_kabupaten_serdang_bedagai_nomor_11_tahun_2012_11e56ca7253d00988c5d313035343434.pdf,PERKAB_SERDANG_BEDAGAI_2012_11,Q2,Q2.2,Apa saja peraturan yang berelasi dengan Peraturan Kabupaten Serdang Bedagai Nomor 11 Tahun 2012?,"SECTION_18_6;
UU_2003_36;
UU_2007_28;
PP_2005_79;
PP_2007_38;
PERMEN_DAGRI_2011_53"
perda_kabupaten_serdang_bedagai_nomor_11_tahun_2012_11e56ca7253d00988c5d313035343434.pdf,PERKAB_SERDANG_BEDAGAI_2012_11,Q2,Q2.4,Peraturan manakah yang dicabut oleh Peraturan Kabupaten Serdang Bedagai Nomor 11 Tahun 2012?,none
perda_kabupaten_bangka_nomor_2_tahun_2012_11e540bdbd2e921a86d5313334353337.pdf,PERKAB_BANGKA_2012_2,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Kabupaten Bangka Nomor 2 Tahun 2012?,"UU_1959_28;
UU_2000_27;
UU_2004_32;
UU_2004_33;
UU_2009_28;
UU_2011_12;
PP_2005_79;
PP_2007_38;
PERKAB_BANGKA_2008_2;"
perda_kabupaten_bangka_nomor_2_tahun_2012_11e540bdbd2e921a86d5313334353337.pdf,PERKAB_BANGKA_2012_2,Q2,Q2.2,Apa saja peraturan yang berelasi dengan Peraturan Kabupaten Bangka Nomor 2 Tahun 2012?,"UU_1959_28;
UU_2000_27;
UU_2004_32;
UU_2004_33;
UU_2009_28;
UU_2011_12;
PP_2005_79;
PP_2007_38;
PERKAB_BANGKA_2008_2;"
perda_kabupaten_bangka_nomor_2_tahun_2012_11e540bdbd2e921a86d5313334353337.pdf,PERKAB_BANGKA_2012_2,Q2,Q2.4,Peraturan manakah yang dicabut oleh Peraturan Kabupaten Bangka Nomor 2 Tahun 2012?,none
bn332-2017.pdf,PERMEN_KEU_2017_23,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Menteri Keuangan Republik Indonesia Nomor 23 Tahun 2017?,"UU_2011_21;
PERPRES_2015_28;"
bn332-2017.pdf,PERMEN_KEU_2017_23,Q2,Q2.2,Apa saja peraturan yang berelasi dengan Peraturan Menteri Keuangan Republik Indonesia Nomor 23 Tahun 2017?,"UU_2011_21;
PERPRES_2015_28;"
bn332-2017.pdf,PERMEN_KEU_2017_23,Q2,Q2.4,Peraturan manakah yang dicabut oleh Peraturan Menteri Keuangan Republik Indonesia Nomor 23 Tahun 2017?,none
perda_kabupaten_indragiri_hilir_nomor_50_tahun_2010_11e5770858ae4deaa131313535353433.pdf,PERKAB_INDRAGIRI_HILIR_2010_50,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Kabupaten Indragiri Hilir Nomor 50 Tahun 2010?,"UU_1965_6;
UU_2004_10;
UU_2004_33;
UU_2009_28;
PP_2007_38;
;
;
;"
perda_kabupaten_indragiri_hilir_nomor_50_tahun_2010_11e5770858ae4deaa131313535353433.pdf,PERKAB_INDRAGIRI_HILIR_2010_50,Q2,Q2.2,Apa saja peraturan yang berelasi dengan Peraturan Kabupaten Indragiri Hilir Nomor 50 Tahun 2010?,"UU_1965_6;
UU_2004_10;
UU_2004_33;
UU_2009_28;
PP_2007_38;
;
;
;"
perda_kabupaten_indragiri_hilir_nomor_50_tahun_2010_11e5770858ae4deaa131313535353433.pdf,PERKAB_INDRAGIRI_HILIR_2010_50,Q2,Q2.4,Peraturan manakah yang dicabut oleh Peraturan Kabupaten Indragiri Hilir Nomor 50 Tahun 2010?,none
bn895-2018.pdf,PERMEN_DAGRI_2018_51,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Menteri Dalam Negeri Republik Indonesia Nomor 51 Tahun 2018?,"UU_2008_39;
UU_2011_12;
UU_2014_6;
UU_2014_23;
PP_2014_43"
bn895-2018.pdf,PERMEN_DAGRI_2018_51,Q2,Q2.2,Apa saja peraturan yang berelasi dengan Peraturan Menteri Dalam Negeri Republik Indonesia Nomor 51 Tahun 2018?,"UU_2008_39;
UU_2011_12;
UU_2014_6;
UU_2014_23;
PP_2014_43"
bn895-2018.pdf,PERMEN_DAGRI_2018_51,Q2,Q2.4,Peraturan manakah yang dicabut oleh Peraturan Menteri Dalam Negeri Republik Indonesia Nomor 51 Tahun 2018?,none
