filename,reg_id,type1,type2,Q,A,nQ
perwal42019.pdf,PERWALI_CIREBON_2019_4,Q5,Q5.1,Bagaimana perubahan bunyi Pasal 3 dalam PERWALI_2018_35?,"Standar Biaya Belanja yang mengatur mengenai Biaya 
Honorarium kegiatan diberikan kepada Non ASN 
(Aparatur Sipil Negara) dan atau pegawai di luar 
Pemerintah Daerah Kota Cirebon disesuaikan dengan 
kemampuan daerah, kecuali ditentukan lain melalui 
Keputusan Wali Kota. 
2. Ditambah ANGKA I BIAYA UMUM ditambahkan 1 
(satu) huruf yaitu HURUF V.a HONOR TIM 
KOORDINASI HARMONISASI PENYULUHAN HUKUM 
TAHUN 2019 
No Uraian Satuan Tarif (Rp) 
1 Penanggung Jawab Orang/Bulan 1.000.000 
2 Pengarah Orang/Bulan 850.000 
3 Ketua Orang/Bulan 800.000 
4 Wakil Ketua Orang/Bulan 750.000 
5 Sekretaris Orang/Bulan 700.000 
6 Anggota Orang/Bulan 600.000 
7 Pembantu Umum Kesekretariatan Orang/Bulan 150.000 
Keterangan: 
a. Tim tersebut gabungan Aparatus Sipil Negara (ASN) 
Pemerintah Daerah Kota Cirebon dan Aparatur 
Sipil Negara (ASN) pada Instansi Vertikal; 
b. Pemberian honorarium hanya diberikan bagi 
Aparatur Sipil Negara (ASN) di luar Pemerintah 
Daerah Kota Cirebon; dan 
c. Hasil dari kegiataan Koordinasi berupa 
Memorandum of Understanding (MoU) dengan 
Kejaksaan, Hasil Rapat Tim Koordinasi 
Harmonisasi Penyuluhan Hukum Tahun 2019. 
-6- 
3. Ditambah ANGKA I BIAYA UMUM ditambahkan 1 
(satu) huruf yaitu HURUF EE HONORARIUM 
LEMBAGA AD HOC PENELITIAN DAN 
PENGEMBANGAN 
I Tim Majelis Pertimbangan Kelitbangan Kota Cirebon 
 No Uraian Satuan Tarif (Rp) 
 1 Ketua Kegiatan 6.500.000 
 2 Wakil Ketua Kegiatan 4.500.000 
 3 Sekretaris Kegiatan 3.500.000 
 4 Anggota Kegiatan 3.000.000 
II Tim Pengendali Mutu Kelitbangan Kota Cirebon 
 1 Tim Pengendali Mutu Kelitbangan 
 a Penanggung Jawab Kegiatan 5.000.000 
 b Ketua Kegiatan 4.500.000 
 c Anggota Kegiatan 3.000.000 
 2 Sekretaris Tim Pengendali Mutu Kelitbangan 
 a Ketua Kegiatan 2.500.000 
 b Sekretaris Kegiatan 2.000.000 
 c Anggota Kegiatan 1.500.000 
III Tim Kelitbangan Kota Cirebon 
 1 Unsur Pelaksana Tim Kelitbangan 
 a Pengarah Kegiatan 13.000.000 
 b Ketua Kegiatan 12.000.000 
 c Anggota Kegiatan 10.000.000 
 2 Unsur Penunjang Tim Kelitbangan 
 a Penanggung Jawab Kegiatan 3.000.000 
 b Sekretaris Kegiatan 2.500.000 
 c Anggota Kegiatan 2.000.000 
Keterangan: 
1. Tim tersebut adalah Non PNS / PNS yang berasal 
dari luar Pemerintah Daerah Kota Cirebon; 
2. Penetapan personil sesuai kebutuhan dengan 
memperhatikan azas hemat dan wajar; 
3. Hasil/output kegiatan harus dapat diukur dan 
dipertanggung jawabkan. 
-7- 
4. Ditambah ANGKA XVII STANDAR BIAYA PADA 
URUSAN SOSIAL DAN PADA URUSAN 
PEMBERDAYAAN PEREMPUAN ditambahkan 1 (satu) 
huruf yaitu HURUF D PEMBINAAN KESEJAHTERAAN 
KELUARGA 
No Uraian Spesifikasi Satuan 
Biaya 
(Rp) 
1 Honorarium Non PNS 
(PPK/Masyarakat) 
Kota Cirebon 
PPK/Masyarakat 
Kota Cirebon 
Orang/ 
Kegiatan 
400.000 
2 Honorarium Non PNS 
(Jejaring Sosial/ 
Masyarakat) 
Jeraring Sosial/ 
Masyarakat 
Orang/ 
Bulan 
400.000",4.0
perwal42019.pdf,PERWALI_CIREBON_2019_4,Q5,Q5.2,Apa saja pasal yang dihapus dalam PERWALI_2018_35?,,4.0
perwal42019.pdf,PERWALI_CIREBON_2019_4,Q5,Q5.3,Apa saja pasal yang ditambahkan dalam PERWALI_2018_35?,,4.0
perwal42019.pdf,PERWALI_CIREBON_2019_4,Q5,Q5.4,Apakah PERWALI_2018_35 mengalami perubahan?,Ya,4.0
perwal252019.pdf,PERWALI_CIREBON_2019_25,Q5,Q5.1,Bagaimana perubahan bunyi Pasal 3 dalam PERWALI_CIREBON_2018_18?,"Perubahan Rencana Kerja Pemerintah Daerah (RKPD) 
Kota Cirebon Tahun Anggaran 2019 disusun dengan 
sistematika sebagai berikut : 
BAB I : PENDAHULUAN 
BAB II : EVALUASI HASIL TRIWULAN II TAHUN 
BERKENAAN 
BAB III : KERANGKA EKONOMI DAN KEUANGAN 
DAERAH 
BAB IV : SASARAN DAN PRIORITAS PEMBANGUNAN 
DAERAH 
BAB V : RENCANA KERJA DAN PENDANAAN DAERAH 
BAB VI : PENUTUP 
- 8 -",4.0
perwal252019.pdf,PERWALI_CIREBON_2019_25,Q5,Q5.2,Apa saja pasal yang dihapus dalam PERWALI_CIREBON_2018_18?,,4.0
perwal252019.pdf,PERWALI_CIREBON_2019_25,Q5,Q5.3,Apa saja pasal yang ditambahkan dalam PERWALI_CIREBON_2018_18?,,4.0
perwal252019.pdf,PERWALI_CIREBON_2019_25,Q5,Q5.4,Apakah PERWALI_CIREBON_2018_18 mengalami perubahan?,Ya,4.0
perwal222019.pdf,PERWALI_CIREBON_2019_22,Q5,Q5.1,Bagaimana perubahan bunyi Pasal 4 ayat 2 dalam PERWALI_CIREBON_2018_9?,"Kuota untuk sekolah diperhitungkan berdasarkan 
jumlah peserta didik, dihitung berdasarkan jumlah 
warga belajar yang tercantum dalam Data Pokok 
Pendidikan periode bulan Juli atau setiap tahun 
ajaran.",5.0
perwal222019.pdf,PERWALI_CIREBON_2019_22,Q5,Q5.2,Apa saja pasal yang dihapus dalam PERWALI_CIREBON_2018_9?,,5.0
perwal222019.pdf,PERWALI_CIREBON_2019_22,Q5,Q5.3,Apa saja pasal yang ditambahkan dalam PERWALI_CIREBON_2018_9?,,5.0
perwal222019.pdf,PERWALI_CIREBON_2019_22,Q5,Q5.4,Apakah PERWALI_CIREBON_2018_9 mengalami perubahan?,Ya,5.0
perwal202019.pdf,PERWALI_CIREBON_2019_20,Q5,Q5.1,Bagaimana perubahan bunyi Pasal 10 dalam PERWALI_CIREBON_2017_21?,"Persyaratan calon yang memimpin Perangkat Daerah 
meliputi : 
a. berstatus PNS pada Pemerintah Daerah Kota Cirebon, 
Pemerintah Provinsi Jawa Barat, Pemerintah 
Kabupaten dan Kota se Jawa Barat; 
b. memiliki kualifikasi dan pendidikan paling rendah 
Sarjana atau Diploma IV; 
- 6 - 
c. memiliki kompetensi jabatan yang diperlukan; 
d. memiliki pengalaman jabatan dalam bidang tugas yang 
terkait dengan jabatan yang akan diduduki secara 
kumulatif paling kurang selama 5 (lima) tahun; 
e. paling rendah memiliki pangkat Pembina golongan 
ruang IV/a bagi calon yang sedang menduduki 
Jabatan Administrator; 
f. sedang atau pernah menduduki Jabatan Administrator 
atau Jabatan Fungsional jenjang ahli madya paling 
singkat 2 (dua) tahun; 
g. berkomitmen untuk menandatangani dan 
melaksanakan Pakta Integritas; 
h. semua unsur penilaian prestasi kerja paling sedikit 
bernilai baik dalam 2 (dua) tahun terakhir; 
i. tidak pernah atau sedang dijatuhi hukuman disiplin 
tingkat sedang atau berat; 
j. tidak pernah dijatuhi hukuman berkaitan dengan 
tindak pidana korupsi atau tidak dalam status 
tersangka kasus tindak pidana korupsi; 
k. tidak pernah terlibat kasus narkoba, atau pidana 
umum; 
l. usia paling tinggi 56 (lima puluh enam) tahun; 
m. sehat jasmani dan rohani; 
n. telah mengikuti dan lulus Pendidikan dan Pelatihan 
Kepemimpinan tingkat III atau yang setara; 
o. menyusun makalah dengan topik yang memuat visi 
dan misi calon pada jabatan yang dilamar; dan 
p. persyaratan lain yang diperlukan.",4.0
perwal202019.pdf,PERWALI_CIREBON_2019_20,Q5,Q5.2,Apa saja pasal yang dihapus dalam PERWALI_CIREBON_2017_21?,,4.0
perwal202019.pdf,PERWALI_CIREBON_2019_20,Q5,Q5.3,Apa saja pasal yang ditambahkan dalam PERWALI_CIREBON_2017_21?,,4.0
perwal202019.pdf,PERWALI_CIREBON_2019_20,Q5,Q5.4,Apakah PERWALI_CIREBON_2017_21 mengalami perubahan?,Ya,4.0
perwal192019.pdf,PERWALI_CIREBON_2019_19,Q5,Q5.1,Bagaimana perubahan bunyi Pasal 1 dalam PERWALI_CIREBON_2018_40?,"Penjabaran Anggaran Pendapatan dan Belanja Daerah Tahun 
Anggaran 2019 sebagai berikut : 
A. Pendapatan : 
1) Pendapatan Asli Daerah Rp. 478.465.076.450,00 
2) Dana Perimbangan Rp 846.451.794.000,00 
3) Lain-lain pendapatan daerah 
 yang sah Rp. 301.337.663.000,00 
 Jumlah Pendapatan Rp.1.626.254.533.450,00 
 - 13 - 
B. Belanja : 
a. Belanja Tidak Langsung : 
1) Belanja Pegawai Rp. 667.167.961.885,00 
2) Belanja Hibah Rp. 54.772.411.150,00 
3) Belanja Bantuan Sosial Rp. 3.475.500.000,00 
4) Belanja Bantuan Keuangan 
 kepada Provinsi/Kabupaten/ 
 Kota dan Pemerintahan Desa 
 dan Partai Politik Rp. 723.896.000,00 
5) Belanja Tidak Terduga Rp. 2.000.000.000,00 
 Jumlah Rp. 728.139.769.035,00 
b. Belanja Langsung : 
1) Belanja Pegawai Rp. 24.393.219.694,00 
2) Belanja Barang dan Jasa Rp. 630.835.359.876,00 
3) Belanja Modal Rp. 325.418.534.940,00 
 Jumlah Rp. 980.647.114.510,00 
 Jumlah Belanja Rp.1.708.786.883.545,00 
 Surplus/(Defisit) Rp (82.532.350.095,00) 
C. Pembiayaan : 
1) Penerimaan Rp. 87.601.350.095,00 
2) Pengeluaran Rp. 5.069.000.000,00 
Jumlah Pembiayaan Netto Rp. 82.532.350.095,00 
Sisa Lebih Pembiayaan Anggaran 
Tahun Berkenaan Rp. 0,00",4.0
perwal192019.pdf,PERWALI_CIREBON_2019_19,Q5,Q5.2,Apa saja pasal yang dihapus dalam PERWALI_CIREBON_2018_40?,,4.0
perwal192019.pdf,PERWALI_CIREBON_2019_19,Q5,Q5.3,Apa saja pasal yang ditambahkan dalam PERWALI_CIREBON_2018_40?,,4.0
perwal192019.pdf,PERWALI_CIREBON_2019_19,Q5,Q5.4,Apakah PERWALI_CIREBON_2018_40 mengalami perubahan?,Ya,4.0
perwal172019.pdf,PERWALI_CIREBON_2019_17,Q5,Q5.1,Bagaimana perubahan bunyi Pasal 3 dalam PERWALI_CIREBON_2018_40?,"Ketentuan dalam Lampiran II Peraturan Wali Kota Cirebon 
Nomor 40 Tahun 2018 untuk Dinas Pendidikan, Satuan Polisi 
Pamong Praja, Dinas Perpustakaan dan Kearsipan dan Badan 
Keuangan Daerah diubah sehingga berbunyi sebagaimana 
tercantum dalam Lampiran II Peraturan Wali Kota ini.",5.0
perwal172019.pdf,PERWALI_CIREBON_2019_17,Q5,Q5.2,Apa saja pasal yang dihapus dalam PERWALI_CIREBON_2018_40?,,5.0
perwal172019.pdf,PERWALI_CIREBON_2019_17,Q5,Q5.3,Apa saja pasal yang ditambahkan dalam PERWALI_CIREBON_2018_40?,,5.0
perwal172019.pdf,PERWALI_CIREBON_2019_17,Q5,Q5.4,Apakah PERWALI_CIREBON_2018_40 mengalami perubahan?,Ya,5.0
perwal132019.pdf,PERWALI_CIREBON_2019_13,Q5,Q5.1,Bagaimana perubahan bunyi Pasal 27 ayat 5 dalam PERWALI_CIREBON_2018_16?,"Dalam hal perpindahan peserta didik sebagaimana 
dimaksud pada ayat (3) dalam Pasal ini dikecualikan 
apabila atas permintaan sendiri minimal sudah 
bersekolah sekurang-kurangnya 2 (dua) semester. 
10. Ketentuan Lampiran I dihapus.",5.0
perwal132019.pdf,PERWALI_CIREBON_2019_13,Q5,Q5.2,Apa saja pasal yang dihapus dalam PERWALI_CIREBON_2018_16?,,5.0
perwal132019.pdf,PERWALI_CIREBON_2019_13,Q5,Q5.3,Apa saja pasal yang ditambahkan dalam PERWALI_CIREBON_2018_16?,Pasal 9A,5.0
perwal132019.pdf,PERWALI_CIREBON_2019_13,Q5,Q5.4,Apakah PERWALI_CIREBON_2018_16 mengalami perubahan?,Ya,5.0
perwal112019.pdf,PERWALI_CIREBON_2019_11,Q5,Q5.1,Bagaimana perubahan bunyi Pasal 3 dalam PERWALI_CIREBON_2018_40?,"Ketentuan dalam Lampiran II Peraturan Wali Kota Cirebon 
Nomor 40 Tahun 2018 untuk Dinas Pendidikan, Dinas 
Kesehatan, Dinas Pekerjaan Umum dan Penataan Ruang, 
Dinas Penanaman Modal dan Pelayanan Terpadu Satu Atap, 
Dinas Perdagangan, Koperasi, Usaha Kecil dan Menengah, 
Sekretariat Daerah dan Badan Kepegawaian Pendidikan dan 
Pelatihan Daerah diubah sehingga berbunyi sebagaimana 
tercantum dalam Lampiran II Peraturan Wali Kota ini.",5.0
perwal112019.pdf,PERWALI_CIREBON_2019_11,Q5,Q5.2,Apa saja pasal yang dihapus dalam PERWALI_CIREBON_2018_40?,,5.0
perwal112019.pdf,PERWALI_CIREBON_2019_11,Q5,Q5.3,Apa saja pasal yang ditambahkan dalam PERWALI_CIREBON_2018_40?,,5.0
perwal112019.pdf,PERWALI_CIREBON_2019_11,Q5,Q5.4,Apakah PERWALI_CIREBON_2018_40 mengalami perubahan?,Ya,5.0
2019-9.pdf,PERWALI_BOGOR_2019_9,Q5,Q5.1,Bagaimana perubahan bunyi Pasal 1 dalam PERWALI_BOGOR_2018_120?,"Anggaran Pendapatan dan Belanja Daerah (APBD) Tahun 
Anggaran 2019 terdiri atas: 
a. Pendapatan: 
 1. Pendapatan Asli Daerah Rp 944.394.650.807,00 
 2. Dana Perimbangan Rp 1.120.129.105.000,00 
 3. Lain-lain Pendapatan Daerah 
Yang Sah 
Rp 486.318.800.517,00 
 Jumlah Pendapatan Daerah Rp 2.550.842.556.324,00 
b. Belanja: 
1. Belanja Tidak Langsung 
 a) Belanja Pegawai Rp 1.053.553.078.053,00 
 b) Belanja Bunga Rp 7.000.000.000,00 
 c) Belanja Hibah Rp 60.155.000.000,00 
 d) Belanja Bantuan Sosial Rp 48.570.456.200,00 
 e) Belanja Bantuan 
Keuangan kepada 
Pemerintah Daerah 
lainnya/Parpol 
Rp 5.157.216.192,00 
 f) Belanja Tidak Terduga Rp 10.000.000.000,00 
2. Belanja Langsung 
 a) Belanja Pegawai Rp 238.349.790.962,00 
 b) Belanja Barang dan 
Jasa 
Rp 745.545.425.368,00 
 c) Belanja Modal Rp 639.767.853.894.00 
 Jumlah Belanja Daerah Rp 2.808.098.820.669,00 
 Defisit Rp -257.256.264.345,00 
c. Pembiayaan: 
 1. Penerimaan Rp 268.753.296.605,00 
 2. Pengeluaran Rp 11.497.032.260,00 
 Jumlah Pembiayaan Neto Rp 257.256.264.345,00 
 Sisa lebih pembiayaan anggaran 
tahun berjalan 
Rp 0,00. 
2. Ketentuan yang tertuang dalam Lampiran I RINGKASAN 
PENJABARAN ANGGARAN PENDAPATAN DAN BELANJA 
DAERAH TAHUN ANGGARAN 2019 diubah, sehingga 
keseluruhan Ringkasan Penjabaran APBD Tahun Anggaran 
2019 menjadi berbunyi sebagaimana tercantum 
dalam Lampiran I yang merupakan bagian tidak terpisahkan 
dari Peraturan Wali Kota ini. 
3. Ketentuan yang tertuang dalam Lampiran II PENJABARAN 
ANGGARAN PENDAPATAN DAN BELANJA DAERAH 
TAHUN ANGGARAN 2019 diubah: 
a. penganggaran belanja Kegiatan Jaminan Kesehatan 
Bagi Penerima Bantuan Iuran (PBI) di luar kuota 
JAMKESMAS Kota Bogor (BANKEU JABAR TA. 2019) 
pada Dinas Kesehatan; 
b. penganggaran belanja Kegiatan Pencegahan 
dan Intervensi Stunting (BANKEU JABAR TA. 2019) 
pada Dinas Kesehatan; 
c. penganggaran belanja kegiatan DAK Penugasan Bidang 
Kesehatan dan KB pada Dinas Kesehatan; 
d. penganggaran belanja kegiatan DAK Reguler Bidang 
Kesehatan dan KB-Pelayanan Dasar pada Dinas 
Kesehatan; 
e. penganggaran belanja kegiatan DAK Non Fisik Akreditasi 
Puskesmas pada Dinas Kesehatan; 
f. penganggaran belanja kegiatan DAK Reguler bidang 
Kesehatan dan KB-Pelayanan Kefarmasian 
dan Perbekalan kesehatan pada Dinas Kesehatan; 
g. penganggaran belabja kegiatan DAK Non Fisik Bantuan 
Operasional Kesehatan pada Dinas Kesehatan; 
h. penganggaran belanja Pelaksanaan DAK Reguler Bidang 
Kesehatan dan KB-Pelayanan Kesehatan Rujukan 
pada Rumah Sakit Umum Daerah; 
i. penambahan anggaran belanja pada Kegiatan 
Revitalisasi Gedung RSUD Kota Bogor Lanjutan 
pada Rumah Sakit Umum Daerah; 
j. penganggaran belanja pada Kegiatan Perencanaan 
Teknis Pembangunan Jalan, Jembatan, Trotoar, 
dan Drainase Wilyah II pada Dinas Pekerjaan Umum 
dan Penataan Ruang; 
k. penganggaran belanja pada kegiatan SPAM Perkotaan - 
Pembangunan District Metering Area (DMA) (BANKEU 
JABAR TA. 2019) pada Dinas Pekerjaan Umum dan 
Penataan Ruang; 
l. penganggaran belanja kegiatan SPAM 
Perkotaan-Pengembangan Jaringan Pipa Distribusi 
(BANKEU JABAR TA. 2019) pada Dinas Pekerjaan 
Umum dan Penataan Ruang; 
m. penganggaran belanja kegiatan Pelaksanaan DAK 
Penugasan Bidang Air Minum pada Dinas Pekerjaan 
Umum dan Penataan Ruang; 
n. penganggaran belanja kegiatan Pengamanan Wilayah 
dalam rangka Pileg dan Pilpres 2019 (BANKEU JABAR 
TA. 2019) pada Satuan Polisi Pamong Praja; 
o. penganggaran belanja Kegiatan Pengadaan Inventaris 
Kantor (2018) pada Badan Penanggulangan Bencana 
Daerah; 
p. penganggaran belanja Kegiatan Pemantauan Pileg 
dan Pilpres Tahun 2019 (BANKEU JABAR TA. 2019) 
pada Kantor Kesatuan Bangsa dan Politik; 
q. penganggaran belanja Kegiatan Pelatihan Ketrampilan 
Berbasis Penempatan (BANKEU JABAR TA. 2019) 
pada Dinas Tenaga Kerja dan Transmigrasi; 
r. penganggaran belanja Kegiatan Pengelolaan 
Persampahan Perkotaan-Pengadaan Sarana 
dan Prasarana Persampahan untuk persiapan 
Pengangkutan Sampah ke TPS Nambo (BANKEU JABAR 
TA. 2019) pada Dinas Lingkungan Hidup; 
s. penganggaran belanja Kegiatan Pengelolaan 
Persampahan Perkotaan-Pembangunan dan Peningkatan 
Fasilitas Pengurang Sampah 3R (BANKEU JABAR 
TA. 2019) pada Dinas Lingkungan Hidup; 
t. penganggaran belanja Kegiatan Pelaksanaan DAK 
Penugasan Bidang Sanitasi pada Dinas Lingkungan 
Hidup; 
u. penganggaran belanja Kegiatan Pelaksanaan DAK 
Non Fisik Pelayanan Administrasi Kependudukan 
pada Dinas Kependudukan dan Catatan Sipil; 
v. penganggaran belanja Kegiatan Bhakti Siliwangi 
Manunggal Satata Sariksa (BSMSS) di Kota Bogor 
Tahun 2019 (BANKEU JABAR TA. 2019) 
pada Dinas Pemberdayaan Masyarakat, Perempuan 
dan Perlindungan Anak; 
w. penganggaran belanja Kegiatan Integrasi Pemberdayaan 
Perempuan Perlindungan Anak dan Keluarga Berencana 
(BANKEU JABAR TA. 2019) pada Dinas Pemberdayaan 
Masyarakat, Perempuan dan Perlindungan Anak; 
x. penambahan anggaran belanja Kegiatan Pelaksanaan 
DAK Non Fisik Bantuan Operasional KB pada Dinas 
Pengendalian Penduduk dan Keluarga Berencana; 
y. penambahan anggaran belanja Kegiatan Bantuan 
Operasional Penyuluh (BANKEU JABAR TA. 2019) pada 
Dinas Pertanian; 
z. penambahan anggaran belanja Kegiatan Pelaksanaan 
DAK Penugasan Bidang Pasar pada Dinas Perindustrian 
dan Perdagangan; 
aa. penganggaran belanja pada Kegiatan Pembangunan 
Sarana dan Prasarana Kelurahan dan Pemberdayaan 
Masyarakat di Kelurahan-Kelurahan pada Kecamatan 
Bogor Utara; 
bb. penganggaran belanja pada Kegiatan Pembangunan 
Sarana dan Prasarana Kelurahan dan Pemberdayaan 
Masyarakat di Kelurahan-Kelurahan pada Kecamatan 
Selatan; 
cc. penganggaran belanja pada Kegiatan Pembangunan 
Sarana dan Prasarana Kelurahan dan Pemberdayaan 
Masyarakat di Kelurahan-Kelurahan pada Kecamatan 
Bogor Timur ; 
dd. penganggaran belanja pada Kegiatan Pembangunan 
Sarana dan Prasarana Kelurahan dan Pemberdayaan 
Masyarakat di Kelurahan-Kelurahan pada Kecamatan 
Bogor Barat; 
ee. penganggaran belanja pada Kegiatan Pembangunan 
Sarana dan Prasarana Kelurahan dan Pemberdayaan 
Masyarakat di Kelurahan-Kelurahan pada Kecamatan 
Bogor Tengah; 
ff. penganggaran belanja pada Kegiatan Pembangunan 
Sarana dan Prasarana Kelurahan dan Pemberdayaan 
Masyarakat di Kelurahan-Kelurahan pada Kecamatan 
Tanah Sareal; 
gg. penganggaran belanja pada kegiatan penguatan lembaga 
TKPK (BANKEU JABAR TA 2019) pada Badan 
Perencanaan Pembangunan Daerah; 
hh. Penambahan pendapatan pada Lain-lain Pendapatan 
Daerah Yang Sah pada objek pendapatan Bantuan 
Keuangan Provinsi Jawa Barat pada Pejabat Pengelolaan 
Keuangan dan Aset Daerah; 
ii. Penambahan pendapatan pada pada Pendapatan Dana 
Perimbangan pada Dana Alokasi Umum dan Dana 
Alokasi Khusus pada Pejabat Pengelola Keuangan 
Daerah; 
jj. Pergeseran subrincian objek pada Rekening objek 
belanja 5.1.4.01.04 Belanja Hibah Kepada Badan, 
Lembaga, dan Organisasi Kemasyarakatan 
yang Berbadan Hukum Indonesia pada Pejabat Pengelola 
Keuangan Daerah; 
sehingga keseluruhan penjabaran APBD Tahun Anggaran 
2019 berbunyi sebagaimana tercantum dalam Lampiran II 
yang merupakan bagian tidak terpisahkan dari Peraturan 
Wali Kota ini.",4.0
2019-9.pdf,PERWALI_BOGOR_2019_9,Q5,Q5.2,Apa saja pasal yang dihapus dalam PERWALI_BOGOR_2018_120?,,4.0
